[2025-06-05 18:21:15,614: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 18:21:15,631: INFO: app]: ID card ROI extracted.
[2025-06-05 18:21:15,631: INFO: face_verification]: Extracting face...
[2025-06-05 18:21:15,718: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:21:15,719: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:21:15,724: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:21:15,725: INFO: app]: Faces extracted and saved.
[2025-06-05 18:21:15,725: INFO: face_verification]: Verifying the images....
[2025-06-05 18:21:15,725: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:21:15,725: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:21:16,268: INFO: face_verification]: Faces are verified as the same person
[2025-06-05 18:21:16,268: INFO: app]: Face verification status: successful.
[2025-06-05 18:21:16,268: INFO: ocr_engine]: Text Extraction Started...
[2025-06-05 18:21:16,269: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-06-05 18:21:19,131: INFO: ocr_engine]: Inside Try-Catch...
[2025-06-05 18:21:23,716: INFO: ocr_engine]: Extracted Text: |CSJJ.M: UNIVERSITY, KANPUR|Identity Card|Name|Darsh Vaibhav|Desig ICourse|B.Tech|2k21|Department|Comp. Sc. & Engg:|Contact No_|9555465817|Validity|6/30/2025|Address|Slo Sudesh Kumar,|Idgah Nagar ke Peeche Lakhpera Bagh|Bara Banki|Proctor|
[2025-06-05 18:21:23,716: INFO: app]: Text extracted from ID card.
[2025-06-05 18:21:23,761: INFO: sql_connection]: No records found.
[2025-06-05 18:21:23,763: INFO: sql_connection]: No records found.
[2025-06-05 18:21:23,764: INFO: sql_connection]: No duplicate records found.
[2025-06-05 18:22:00,582: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:22:00,583: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:22:00,585: INFO: app]: ID card type selected: PAN
[2025-06-05 18:22:00,585: INFO: app]: Header set for PAN Card registration.
[2025-06-05 18:22:00,612: INFO: app]: ID card image loaded.
[2025-06-05 18:22:00,626: INFO: preprocess]: contours are found at, (0, 0, 1163, 723)
[2025-06-05 18:22:00,627: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 18:22:00,652: INFO: app]: ID card ROI extracted.
[2025-06-05 18:22:00,652: INFO: face_verification]: Extracting face...
[2025-06-05 18:22:01,016: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:22:01,019: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:22:01,028: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:22:01,028: INFO: app]: Faces extracted and saved.
[2025-06-05 18:22:01,029: INFO: face_verification]: Verifying the images....
[2025-06-05 18:22:01,029: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:22:01,029: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:22:02,566: INFO: face_verification]: Faces are not verified as the same person
[2025-06-05 18:22:02,566: INFO: app]: Face verification status: failed.
[2025-06-05 18:22:06,345: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:22:06,347: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:22:06,349: INFO: app]: ID card type selected: PAN
[2025-06-05 18:22:06,350: INFO: app]: Header set for PAN Card registration.
[2025-06-05 18:22:06,412: INFO: app]: ID card image loaded.
[2025-06-05 18:22:06,425: INFO: preprocess]: contours are found at, (0, 0, 1163, 723)
[2025-06-05 18:22:06,425: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 18:22:06,453: INFO: app]: ID card ROI extracted.
[2025-06-05 18:22:06,454: INFO: face_verification]: Extracting face...
[2025-06-05 18:22:06,799: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:22:06,803: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:22:06,849: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:22:06,849: INFO: app]: Faces extracted and saved.
[2025-06-05 18:22:06,850: INFO: face_verification]: Verifying the images....
[2025-06-05 18:22:06,850: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:22:06,850: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:22:10,167: INFO: face_verification]: Faces are verified as the same person
[2025-06-05 18:22:10,167: INFO: app]: Face verification status: successful.
[2025-06-05 18:22:10,167: INFO: ocr_engine]: Text Extraction Started...
[2025-06-05 18:22:10,168: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-06-05 18:22:13,672: INFO: ocr_engine]: Inside Try-Catch...
[2025-06-05 18:22:22,257: INFO: ocr_engine]: Extracted Text: |fetrT|HRT|INCOME TAX DEPARTMENT|GOVT OF INDIA|Permanent Account Number Card|LRIPK7739J|YASH KUMAR KASHYAP|GAURI SHANKAR NISHAD|12022022|Date ol Birth|10/04/2003|
[2025-06-05 18:22:22,257: INFO: app]: Text extracted from ID card.
[2025-06-05 18:22:22,264: INFO: sql_connection]: Fetched records successfully from users table.
[2025-06-05 18:22:22,298: INFO: sql_connection]: Fetched records successfully from users table.
[2025-06-05 18:22:22,299: INFO: sql_connection]: Duplicate records found.
[2025-06-05 18:22:33,175: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:22:33,176: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:22:33,179: INFO: app]: ID card type selected: PAN
[2025-06-05 18:22:33,180: INFO: app]: Header set for PAN Card registration.
[2025-06-05 18:22:43,594: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:22:43,595: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:22:43,599: INFO: app]: ID card type selected: AADHAR
[2025-06-05 18:22:43,601: INFO: app]: Header set for Aadhar Card registration.
[2025-06-05 18:24:26,824: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:24:26,825: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:24:26,827: INFO: app]: ID card type selected: AADHAR
[2025-06-05 18:24:26,827: INFO: app]: Header set for Aadhar Card registration.
[2025-06-05 18:24:31,709: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:24:31,712: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:24:31,715: INFO: app]: ID card type selected: AADHAR
[2025-06-05 18:24:31,717: INFO: app]: Header set for Aadhar Card registration.
[2025-06-05 18:24:31,788: INFO: app]: ID card image loaded.
[2025-06-05 18:24:31,799: INFO: preprocess]: contours are found at, (2, 0, 1268, 799)
[2025-06-05 18:24:31,800: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 18:24:31,826: INFO: app]: ID card ROI extracted.
[2025-06-05 18:24:31,827: INFO: face_verification]: Extracting face...
[2025-06-05 18:24:32,144: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:24:32,149: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:24:32,177: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:24:32,177: INFO: app]: Faces extracted and saved.
[2025-06-05 18:24:32,177: INFO: face_verification]: Verifying the images....
[2025-06-05 18:24:32,177: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:24:32,178: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:24:34,096: INFO: face_verification]: Faces are not verified as the same person
[2025-06-05 18:24:34,096: INFO: app]: Face verification status: failed.
